Charge_Chauffage,Charge_Climatisation
23.53,27.31
18.9,22.09
29.27,29.9
32.84,32.71
11.43,14.83
32.46,35.56
35.96,40.99
39.86,36.85
16.94,16.58
15.42,19.34
16.84,20.56
15.16,19.48
24.17,25.35
32.12,34.07
32.31,34.25
11.49,13.51
8.6,12.07
32.94,34.14
10.47,13.65
32.67,33.06
12.8,13.99
41.26,46.44
11.43,14.74
14.19,16.62
33.28,34.11
32.52,33.85
6.37,11.27
14.75,16.44
35.69,40.66
14.17,16.94
32.68,36.12
15.41,19.23
28.7,29.61
14.5,17.03
12.63,15.81
42.74,38.84
20.71,25.16
15.3,18.15
36.28,37.35
10.43,13.71
38.57,43.86
39.83,36.66
24.4,26.02
12.18,15.22
28.41,29.49
11.45,14.86
14.58,17.47
34.29,33.31
16.77,16.79
29.07,29.82
10.54,16.8
29.67,30.65
23.75,27.38
28.58,29.77
26.28,30.89
12.72,15.78
28.05,32.35
14.92,17.55
15.09,17.2
32.26,33.34
6.07,10.9
12.95,15.73
29.02,33.01
29.88,28.31
24.94,29.88
13.18,16.19
23.67,24.8
11.09,14.3
24.59,26.29
38.84,45.48
18.16,20.71
14.66,17.74
19.12,21.93
28.86,32.83
32.09,31.7
17.35,21.19
26.97,27.25
15.08,15.77
15.19,19.3
32.31,32.0
41.67,46.94
29.63,30.93
43.1,39.41
12.88,14.37
13.17,16.39
10.34,13.72
32.23,33.86
11.16,14.45
24.03,24.91
31.28,35.22
29.92,32.54
6.4,11.72
15.16,15.76
40.42,39.7
14.6,17.51
36.43,36.62
14.34,14.96
11.53,13.59
32.13,32.28
36.57,36.1
12.91,15.37
10.72,14.2
29.4,32.93
16.48,16.61
19.48,22.72
16.74,16.0
12.41,14.92
14.21,16.74
11.22,14.44
13.99,14.61
15.12,15.95
36.7,34.29
27.03,25.82
32.15,36.21
10.36,13.48
33.28,33.16
42.08,38.23
26.48,30.91
36.97,33.87
12.63,14.58
12.96,14.34
14.34,15.32
15.2,19.43
12.46,14.38
14.61,15.56
19.13,21.54
14.71,17.39
11.64,14.81
18.31,27.87
10.56,16.67
10.77,16.75
33.24,34.5
32.74,33.88
18.48,21.54
14.66,15.64
11.1,14.67
14.62,16.88
12.78,15.8
11.16,14.27
36.47,39.28
31.29,36.73
36.71,34.18
19.2,21.72
29.47,29.45
15.98,24.93
14.61,15.07
37.03,34.99
31.63,36.35
12.35,14.73
12.49,15.32
25.43,28.76
29.49,27.93
32.33,32.77
36.45,36.76
16.66,20.46
19.95,21.97
26.45,27.33
24.77,29.79
10.68,14.12
14.16,14.61
12.42,15.31
14.12,16.63
16.83,19.87
39.32,38.17
27.03,25.81
35.69,36.93
12.97,14.5
12.87,15.85
15.09,15.77
16.76,20.19
12.59,14.24
15.16,19.14
17.15,16.99
12.29,15.4
26.47,31.01
10.39,13.7
12.74,16.14
11.34,14.81
32.96,33.87
40.11,40.77
12.68,14.09
13.69,13.89
12.85,14.37
15.41,19.37
13.94,16.7
32.4,34.07
10.72,14.11
32.12,34.7
28.15,29.79
13.0,14.28
15.55,21.33
15.16,18.06
12.85,15.52
32.85,32.95
28.15,30.19
11.22,14.65
14.18,16.99
33.16,33.91
11.44,14.86
42.62,39.07
14.32,16.9
37.24,36.38
11.11,14.46
12.57,15.44
32.49,32.83
24.28,25.68
14.65,15.38
40.57,40.47
14.37,16.61
15.3,18.24
10.78,14.18
14.22,15.39
39.04,45.52
36.91,37.45
12.97,15.53
8.45,12.08
25.98,26.96
12.95,15.99
41.92,48.03
33.21,34.35
24.32,25.87
16.64,16.03
39.84,38.48
25.36,31.9
25.27,31.73
32.24,33.94
18.48,20.78
28.88,32.54
24.96,29.43
41.73,47.59
35.24,37.27
12.84,16.26
11.14,14.4
38.67,43.8
25.37,26.95
25.66,26.3
40.79,44.87
29.01,32.85
10.64,13.67
14.62,17.22
16.35,17.14
15.36,19.18
32.21,33.95
25.49,28.14
32.67,32.12
14.92,17.79
17.14,17.2
12.93,15.63
40.19,37.41
15.29,17.82
12.97,14.27
35.67,33.94
13.0,14.57
25.17,26.41
25.17,26.08
12.78,15.21
28.75,39.44
10.77,14.14
32.75,34.0
12.43,15.19
32.68,32.83
18.84,22.49
17.05,23.77
36.52,37.29
11.8,14.49
40.03,37.81
39.97,36.77
6.05,11.19
32.82,32.96
10.34,13.36
7.1,12.4
12.02,14.03
29.08,29.52
29.6,30.12
41.3,44.18
12.34,14.92
13.86,14.75
11.21,14.55
28.64,28.95
26.89,25.9
10.55,13.8
29.47,29.77
33.27,32.64
13.95,14.89
12.62,14.15
37.26,34.62
14.7,17.2
10.68,13.77
36.45,36.81
38.33,44.16
26.91,25.6
32.53,33.04
10.53,13.79
15.16,19.24
29.9,31.27
16.92,20.29
12.73,15.48
23.86,27.69
12.82,16.03
17.26,16.86
41.96,37.7
12.71,14.14
36.03,42.86
30.0,29.93
12.86,16.13
12.93,14.33
11.59,13.46
27.27,27.84
42.11,38.56
19.36,22.73
34.24,37.26
32.39,30.66
32.38,31.53
16.86,20.01
21.46,25.38
14.28,15.87
8.49,12.22
38.65,43.73
32.48,35.48
10.38,13.49
28.52,37.73
24.58,26.47
39.86,38.18
14.54,16.81
15.55,21.33
17.23,17.38
28.65,33.54
12.57,15.42
29.91,29.13
28.69,29.53
26.0,27.34
15.34,17.86
15.36,19.29
24.29,25.95
12.74,13.97
12.47,14.6
11.22,14.49
6.01,10.94
14.71,17.51
33.27,33.88
31.69,37.12
24.63,26.44
12.33,14.91
11.42,14.67
7.1,12.23
23.84,27.54
13.04,14.34
41.09,47.01
12.77,16.22
13.0,15.59
12.73,15.66
29.08,33.93
38.82,39.37
10.7,13.87
13.86,16.1
10.68,14.21
19.42,22.53
24.04,26.18
14.56,15.84
18.71,20.72
36.7,36.15
39.31,37.79
32.72,33.23
39.72,39.8
36.97,35.1
14.52,16.94
25.41,31.73
31.89,35.99
40.43,39.48
28.01,32.92
22.79,28.79
11.07,14.42
29.53,28.99
27.9,34.2
13.01,15.8
12.12,15.17
32.41,33.78
29.87,29.87
29.05,29.67
39.83,36.87
32.73,34.01
24.24,25.16
14.1,16.57
40.15,40.4
19.5,27.3
32.69,33.24
7.18,12.4
36.95,37.2
23.89,24.77
26.19,31.39
32.74,30.53
14.5,17.12
34.72,38.79
32.46,33.64
30.05,28.61
12.1,15.57
29.62,30.08
15.29,17.89
28.93,28.2
40.71,40.63
29.71,28.02
24.35,26.14
24.11,25.84
15.23,17.95
19.06,21.68
35.84,38.35
25.74,28.27
12.28,15.64
13.18,16.27
15.12,19.37
10.45,13.79
14.32,16.35
13.04,14.24
29.5,29.56
28.05,33.91
11.34,14.87
33.48,33.17
39.04,45.13
10.32,13.57
11.61,13.83
26.33,31.06
32.07,36.16
28.03,34.45
12.19,14.94
32.75,31.0
11.46,13.54
39.81,37.76
14.71,17.01
14.45,16.93
14.48,16.74
10.14,13.53
31.12,36.26
28.95,30.34
14.47,17.23
40.78,39.48
28.17,30.1
14.41,16.69
12.19,14.71
10.39,13.5
32.05,30.11
28.42,34.19
39.89,37.54
35.65,41.07
15.4,19.24
16.55,16.56
12.93,15.85
15.19,19.25
14.33,17.23
12.65,15.85
11.98,14.72
42.77,38.33
36.86,37.28
36.77,43.14
15.12,19.26
17.14,20.47
28.67,29.43
11.18,14.29
31.81,31.2
35.05,33.82
16.99,19.65
28.4,34.52
11.67,14.58
14.96,17.64
15.09,18.36
40.4,39.67
14.33,16.99
13.78,16.6
14.51,17.1
32.71,33.13
11.69,13.72
24.03,25.88
23.87,24.93
13.68,15.19
6.81,11.93
29.22,31.71
10.35,13.65
15.16,17.04
14.07,16.11
32.21,33.76
13.02,14.27
14.42,17.2
24.35,25.64
17.14,17.15
12.36,14.67
14.61,17.25
36.45,33.98
23.59,27.57
28.4,33.52
25.48,27.76
14.03,15.47
10.15,13.36
20.84,28.28
42.49,38.81
29.52,28.43
15.34,17.85
42.5,38.35
24.13,26.13
17.17,17.21
35.64,37.28
36.06,35.73
8.5,12.04
6.85,11.74
26.44,27.17
11.33,15.0
6.04,11.17
35.4,39.22
11.33,15.0
29.09,29.43
17.02,20.48
28.15,29.79
12.31,15.44
32.29,32.46
41.64,45.59
39.01,45.28
15.34,19.32
23.54,24.61
12.92,16.14
39.68,40.1
11.45,13.2
14.39,16.7
16.73,20.13
35.56,41.68
16.95,21.16
22.93,28.68
10.85,16.78
25.7,26.53
17.11,20.43
15.36,19.29
10.08,13.2
29.03,32.92
28.57,29.69
32.0,37.58
26.45,31.28
12.49,15.09
36.26,37.51
16.44,17.11
10.7,13.75
25.37,31.76
35.48,41.22
14.55,17.25
38.35,43.66
14.33,15.41
27.02,25.63
15.23,18.03
32.4,35.1
15.55,21.33
16.9,16.79
14.7,17.0
11.11,14.28
22.8,28.61
6.77,11.73
12.27,15.27
16.86,20.28
36.81,37.05
12.2,14.94
15.21,19.32
28.6,30.02
15.23,18.14
29.87,27.89
24.33,25.98
17.41,21.46
12.45,15.5
14.54,16.43
28.63,30.19
11.14,14.28
32.33,34.48
18.19,20.21
38.89,39.66
33.13,32.25
12.76,15.33
12.12,14.48
24.26,26.18
15.23,18.14
14.42,16.87
28.64,31.14
12.63,14.23
14.44,17.32
16.62,19.9
31.66,36.2
12.25,15.23
26.37,27.03
16.56,20.37
14.51,16.5
24.37,25.11
23.93,29.68
12.5,15.5
12.43,15.35
35.78,43.12
11.38,14.54
12.73,13.89
28.56,29.78
12.28,14.74
29.39,33.47
31.66,37.72
36.96,36.85
15.18,17.63
11.32,13.32
14.9,18.22
24.25,25.89
13.05,15.89
11.69,13.65
12.18,15.03
17.52,21.09
33.09,33.89
12.67,15.83
10.46,13.72
15.09,18.36
24.77,29.79
14.6,16.85
32.21,33.67
26.33,27.36
10.67,14.26
28.62,30.12
28.83,29.36
