feature,ks_stat,p_value,drifted
Relative_Compactness,0.6429,0.0,True
Surface_Area,1.0,0.0,True
Wall_Area,0.0271,1.0,False
Roof_Area,0.0528,0.8606,False
Overall_Height,0.0406,0.981,False
Glazing_Area,0.0335,0.9982,False
Orientation_2,0.0528,0.8606,False
Orientation_3,0.0447,0.9554,False
Orientation_4,0.0122,1.0,False
Orientation_5,0.0041,1.0,False
Glazing_Area_Distribution_0,0.0132,1.0,False
Glazing_Area_Distribution_1,0.0091,1.0,False
Glazing_Area_Distribution_2,0.001,1.0,False
Glazing_Area_Distribution_3,0.0396,0.9855,False
Glazing_Area_Distribution_4,0.0416,0.9759,False
Glazing_Area_Distribution_5,0.001,1.0,False
Wall_to_Surface_Ratio,0.0623,0.699,False
Roof_to_Surface_Ratio,0.0623,0.699,False
Height_x_Compactness,0.0677,0.5956,False
